,Clusters,Neighborhood,Borough,Latitude,Longitude,Common Venue
166,1,Manor Heights,Staten Island,40.60180957631444,-74.12059399718001,Pizza Place
167,2,Marble Hill,Manhattan,40.87655077879964,-73.91065965862981,Pizza Place
168,2,Marine Park,Brooklyn,40.609747779894604,-73.93134404108497,Italian Restaurant
169,2,Mariner's Harbor,Staten Island,40.632546390481124,-74.15008537046981,American Restaurant
170,1,Maspeth,Queens,40.725427374093606,-73.89621713626859,Pizza Place
171,2,Melrose,Bronx,40.819754370594936,-73.90942160757436,Fast Food Restaurant
172,1,Middle Village,Queens,40.716414511158185,-73.88114319200604,Pizza Place
173,1,Midland Beach,Staten Island,40.57352690574283,-74.09348266303591,Pizza Place
174,0,Midtown,Manhattan,40.75469110270623,-73.98166882730304,Korean Restaurant
175,0,Midtown South,Manhattan,40.7485096643122,-73.98871313285247,Korean Restaurant
176,1,Midwood,Brooklyn,40.62559589869843,-73.95759523489838,Pizza Place
177,2,Mill Basin,Brooklyn,40.61597423962336,-73.91515391550404,Pizza Place
178,2,Mill Island,Brooklyn,40.606336421685626,-73.90818571777423,Middle Eastern Restaurant
179,0,Morningside Heights,Manhattan,40.807999738165826,-73.96389627905332,Mexican Restaurant
180,2,Morris Heights,Bronx,40.84789792606271,-73.91967159119565,Chinese Restaurant
181,2,Morris Park,Bronx,40.847549063536334,-73.85040178030421,Italian Restaurant
182,2,Morrisania,Bronx,40.82359198585534,-73.90150648943059,Fast Food Restaurant
183,2,Mott Haven,Bronx,40.80623874935177,-73.91609987487575,Mexican Restaurant
184,2,Mount Eden,Bronx,40.84382617671654,-73.91655551964419,Fast Food Restaurant
185,2,Mount Hope,Bronx,40.84884160724665,-73.90829930881988,Fast Food Restaurant
186,0,Murray Hill,Manhattan,40.748303077252174,-73.97833207924127,Korean Restaurant
186,0,Murray Hill,Queens,40.764126122614066,-73.81276269135866,Korean Restaurant
187,0,Neponsit,Queens,40.572036730217015,-73.85754672410827,Italian Restaurant
188,2,New Brighton,Staten Island,40.64061455913511,-74.08701650516625,Pizza Place
189,0,New Dorp,Staten Island,40.57257231820632,-74.1164794360638,Italian Restaurant
190,1,New Dorp Beach,Staten Island,40.56425549307335,-74.10432707469124,Pizza Place
191,2,New Lots,Brooklyn,40.6627442796966,-73.88511776379292,Fast Food Restaurant
192,1,New Springville,Staten Island,40.594252379161695,-74.16496031329827,Pizza Place
193,0,Noho,Manhattan,40.72325901885768,-73.98843368023597,Pizza Place
194,2,North Corona,Queens,40.7540709990489,-73.85751790676447,Latin American Restaurant
195,1,North Riverdale,Bronx,40.90854282950666,-73.90453054908927,Pizza Place
196,0,North Side,Brooklyn,40.714822906532014,-73.95880857587582,Pizza Place
197,2,Norwood,Bronx,40.87722415599446,-73.8793907395681,Pizza Place
198,2,Oakland Gardens,Queens,40.74561857141855,-73.75494976234332,Chinese Restaurant
199,0,Oakwood,Staten Island,40.5584622432888,-74.12156593771896,Asian Restaurant
200,2,Ocean Hill,Brooklyn,40.678402554795355,-73.91306831787395,Fried Chicken Joint
201,1,Ocean Parkway,Brooklyn,40.61305976667942,-73.96836678035541,Pizza Place
202,0,Old Town,Staten Island,40.59632891379513,-74.08751118005578,Italian Restaurant
203,3,Olinville,Bronx,40.87137078192371,-73.86332361652777,Caribbean Restaurant
204,2,Ozone Park,Queens,40.680708468265415,-73.84320266173447,Pizza Place
205,3,Paerdegat Basin,Brooklyn,40.63131755039667,-73.90233474295836,Caribbean Restaurant
206,0,Park Hill,Staten Island,40.60919044434558,-74.08015734936296,Italian Restaurant
207,0,Park Slope,Brooklyn,40.67232052268197,-73.97705030183924,Vietnamese Restaurant
208,2,Parkchester,Bronx,40.837937822267286,-73.85600310535783,Fast Food Restaurant
209,2,Pelham Bay,Bronx,40.85064140940335,-73.8320737824047,Italian Restaurant
210,3,Pelham Gardens,Bronx,40.86296562477998,-73.84161194831223,Caribbean Restaurant
211,2,Pelham Parkway,Bronx,40.85741349808865,-73.85475564017999,Chinese Restaurant
212,1,Pleasant Plains,Staten Island,40.524699376118136,-74.21983106616777,Pizza Place
213,2,Pomonok,Queens,40.73493618075478,-73.80486120040537,Pizza Place
214,3,Port Ivory,Staten Island,40.63968297845542,-74.17464532993542,American Restaurant
215,2,Port Morris,Bronx,40.801663627756206,-73.91322139386135,Pizza Place
216,1,Port Richmond,Staten Island,40.63366930554365,-74.12943426797008,Pizza Place
217,1,Prince's Bay,Staten Island,40.52626406734812,-74.20152556457658,Pizza Place
218,0,Prospect Heights,Brooklyn,40.676822262254724,-73.9648592426269,New American Restaurant
219,3,Prospect Lefferts Gardens,Brooklyn,40.658420017469815,-73.95489867077713,Caribbean Restaurant
220,3,Prospect Park South,Brooklyn,40.647008603185185,-73.96261316716048,Caribbean Restaurant
221,3,Queens Village,Queens,40.718893092167356,-73.73871484578424,Caribbean Restaurant
222,2,Queensboro Hill,Queens,40.7445723092867,-73.82580915110559,Chinese Restaurant
223,0,Queensbridge,Queens,40.756091297094706,-73.94563070334091,Italian Restaurant
224,2,Randall Manor,Staten Island,40.63563000681151,-74.09805062373887,Pizza Place
225,0,Ravenswood,Queens,40.761704526054146,-73.93157506072878,Mexican Restaurant
226,1,Red Hook,Brooklyn,40.676253230250886,-74.0127589747356,Seafood Restaurant
227,2,Rego Park,Queens,40.72897409480735,-73.8578268690537,Pizza Place
228,3,Remsen Village,Brooklyn,40.652117451793494,-73.91665331978048,Caribbean Restaurant
229,2,Richmond Hill,Queens,40.69794731471763,-73.83183321446887,Indian Restaurant
230,0,Richmond Town,Staten Island,40.56960594275505,-74.1340572986257,Italian Restaurant
231,0,Richmond Valley,Staten Island,40.51954145748909,-74.22957080626941,Italian Restaurant
232,2,Ridgewood,Queens,40.70832315613858,-73.90143517559589,American Restaurant
233,2,Riverdale,Bronx,40.890834493891305,-73.9125854610857,Pizza Place
234,3,Rochdale,Queens,40.67521139591733,-73.77258787620906,Caribbean Restaurant
235,2,Rockaway Beach,Queens,40.582801696845586,-73.82236121088751,Pizza Place
236,1,Rockaway Park,Queens,40.58034295646131,-73.84153370226186,Pizza Place
237,0,Roosevelt Island,Manhattan,40.76215960576283,-73.94916769227953,Mexican Restaurant
238,1,Rosebank,Staten Island,40.61530494652761,-74.06980526716141,Pizza Place
239,3,Rosedale,Queens,40.659816433428084,-73.73526079428278,Caribbean Restaurant
240,1,Rossville,Staten Island,40.54940400650072,-74.21572851113952,Pizza Place
241,1,Roxbury,Queens,40.56737588957032,-73.89213760232822,Taco Place
242,3,Rugby,Brooklyn,40.655572313280764,-73.92688212616955,Caribbean Restaurant
243,1,Sandy Ground,Staten Island,40.541139922091766,-74.21776636068567,Pizza Place
244,2,Schuylerville,Bronx,40.82657951686922,-73.82620275994073,American Restaurant
245,2,Sea Gate,Brooklyn,40.57637537890224,-74.0078731120024,Chinese Restaurant
246,0,Sheepshead Bay,Brooklyn,40.58689012678384,-73.94318640482979,Sushi Restaurant
247,1,Shore Acres,Staten Island,40.60971934079284,-74.06667766061771,Pizza Place
248,2,Silver Lake,Staten Island,40.61919310792676,-74.09629029235458,American Restaurant
249,0,Soho,Manhattan,40.72218384131794,-74.00065666959759,Italian Restaurant
250,3,Somerville,Queens,40.59771061565768,-73.79664750844047,Pizza Place
251,2,Soundview,Bronx,40.821012197914015,-73.86574609554924,Fried Chicken Joint
252,1,South Beach,Staten Island,40.58024741350956,-74.0795529253982,Pizza Place
253,3,South Jamaica,Queens,40.696911253789885,-73.7904261313554,Caribbean Restaurant
254,3,South Ozone Park,Queens,40.66854957767195,-73.80986478649041,Chinese Restaurant
255,0,South Side,Brooklyn,40.71086147265064,-73.95800095153331,Pizza Place
256,3,Springfield Gardens,Queens,40.666230490368584,-73.76042092682287,Chinese Restaurant
257,2,Spuyten Duyvil,Bronx,40.88139497727086,-73.91719048210393,Mexican Restaurant
258,3,St. Albans,Queens,40.69444538522359,-73.75867603727717,Caribbean Restaurant
259,2,St. George,Staten Island,40.6449815710044,-74.07935312512797,Pizza Place
260,2,Stapleton,Staten Island,40.62692762538176,-74.07790192660066,Pizza Place
261,1,Starrett City,Brooklyn,40.64758905230874,-73.87936970045875,Pizza Place
262,0,Steinway,Queens,40.775923015642896,-73.90228960391673,Italian Restaurant
