,Unnamed: 0,geometry
133,128222,POINT (-73.95496259999999 40.7855222)
134,128308,POINT (-73.94717709999998 40.7763542)
135,129658,POINT (-73.97182890000001 40.76234820000001)
136,131635,POINT (-74.00473580000001 40.7074098)
137,131636,POINT (-74.0055546 40.7077639)
138,131637,POINT (-74.0055437 40.7069953)
139,131653,POINT (-74.00589359999999 40.7074674)
140,131682,POINT (-74.0065068 40.7073905)
141,131688,POINT (-74.00631559999999 40.70721760000001)
142,133422,POINT (-74.0079643 40.7106348)
143,133423,POINT (-74.00839000000001 40.7108708)
144,134427,POINT (-74.01696290000002 40.706975)
145,134440,POINT (-74.01659520000003 40.7076228)
146,134441,POINT (-74.01475390000002 40.7159726)
147,135790,POINT (-74.01805999999998 40.7090773)
148,135824,POINT (-74.00507109999999 40.7057465)
149,143266,POINT (-73.9760405 40.7652476)
150,143281,POINT (-73.9535472 40.7800294)
151,143775,POINT (-73.96279 40.7622029)
152,144100,POINT (-74.01613570000001 40.7165736)
153,146148,POINT (-73.96746690000001 40.7503498)
154,146941,POINT (-73.83956500000002 40.7202507)
155,149797,POINT (-74.0073692 40.7108763)
156,149895,POINT (-73.9724348 40.76360820000001)
157,150651,POINT (-74.0158328 40.7172708)
158,150653,POINT (-74.01627259999999 40.7161042)
159,150869,POINT (-73.9646572 40.7195254)
160,151155,POINT (-74.0144434 40.7147238)
161,151166,POINT (-74.0132658 40.7065418)
162,152243,POINT (-73.9616623 40.7584093)
163,153415,POINT (-73.9919854 40.7684694)
164,153574,POINT (-73.93782519999998 40.8309888)
165,153703,POINT (-73.96034950000001 40.7626303)
166,153756,POINT (-73.9704325 40.7528565)
167,153863,POINT (-73.96764240000002 40.7531001)
168,156691,POINT (-74.0108426 40.7097535)
169,156709,POINT (-73.9866756 40.7470874)
170,156717,POINT (-73.9859421 40.751133)
171,156725,POINT (-73.9524777 40.7658551)
172,156728,POINT (-73.9841066 40.74438350000001)
173,156742,POINT (-73.97152709999997 40.759005)
174,156759,POINT (-73.97244190000001 40.7551379)
175,156767,POINT (-73.9876958 40.69460220000001)
176,156851,POINT (-74.00089870000002 40.75353010000001)
177,157237,POINT (-73.96072070000002 40.7268334)
178,157310,POINT (-73.9797447 40.764241)
179,157354,POINT (-73.9949718 40.7590386)
180,157415,POINT (-73.97887370000002 40.6877719)
181,157498,POINT (-73.98541659999999 40.7772849)
182,157521,POINT (-73.96396109999998 40.719344)
183,157738,POINT (-74.0085522 40.7271225)
184,157771,POINT (-73.98096579999998 40.7662265)
185,157890,POINT (-73.98776789999999 40.7535322)
186,158136,POINT (-73.97326120000002 40.7374235)
187,158668,POINT (-73.97995429999997 40.6914776)
188,159214,POINT (-73.95031 40.7826657)
189,159490,POINT (-73.9921372 40.76769270000001)
190,159586,POINT (-73.9702411 40.7935253)
191,160197,POINT (-73.96781949999998 40.7525622)
192,160482,POINT (-73.96696829999998 40.7585619)
193,160559,POINT (-73.9615278 40.7350926)
194,160763,POINT (-73.9828366 40.7711143)
195,160882,POINT (-73.9977045 40.7526764)
196,160901,POINT (-73.97278990000002 40.7605232)
197,161252,POINT (-74.0096552 40.7040571)
198,161258,POINT (-73.9955167 40.7601723)
