index_right,ntaname,Unnamed: 0.1,geometry
584,Midtown-Midtown South,599987,POINT (-73.97268129999998 40.7611792)
585,Murray Hill-Kips Bay,599988,POINT (-73.9777565 40.7508737)
586,Turtle Bay-East Midtown,599989,POINT (-73.97378570000002 40.7524319)
587,Midtown-Midtown South,599991,POINT (-73.9788703 40.7553863)
588,Murray Hill-Kips Bay,599992,POINT (-73.9794417 40.7517826)
589,Midtown-Midtown South,599994,POINT (-73.97844720000001 40.7576753)
590,Midtown-Midtown South,599998,POINT (-73.97492059999998 40.7579519)
591,Midtown-Midtown South,600000,POINT (-73.97421679999999 40.75768)
592,Midtown-Midtown South,600002,POINT (-73.97827270000001 40.7616936)
593,Murray Hill-Kips Bay,600005,POINT (-73.9758764 40.75008010000001)
594,Turtle Bay-East Midtown,600006,POINT (-73.9733198 40.7531756)
595,Midtown-Midtown South,600008,POINT (-73.97372929999999 40.7583057)
596,Murray Hill-Kips Bay,600009,POINT (-73.9800333 40.7526473)
597,Murray Hill-Kips Bay,600012,POINT (-73.9770238 40.7507364)
598,Turtle Bay-East Midtown,600014,POINT (-73.9753741 40.7516363)
599,Midtown-Midtown South,600016,POINT (-73.97367120000001 40.7591236)
600,Turtle Bay-East Midtown,600018,POINT (-73.9697584 40.75890029999999)
601,Turtle Bay-East Midtown,600020,POINT (-73.97240500000002 40.7570757)
602,Turtle Bay-East Midtown,600021,POINT (-73.97348909999999 40.7540787)
603,Turtle Bay-East Midtown,600024,POINT (-73.97461990000002 40.7513562)
604,Turtle Bay-East Midtown,600025,POINT (-73.974948 40.7522455)
605,Turtle Bay-East Midtown,600026,POINT (-73.9728142 40.7538562)
606,Midtown-Midtown South,600028,POINT (-73.97473220000001 40.75970570000001)
607,Turtle Bay-East Midtown,600033,POINT (-73.97127159999999 40.7571907)
608,Turtle Bay-East Midtown,600037,POINT (-73.974138 40.7560139)
609,Turtle Bay-East Midtown,600040,POINT (-73.97398149999999 40.7501072)
610,Turtle Bay-East Midtown,600041,POINT (-73.9719997 40.7509823)
611,Turtle Bay-East Midtown,600042,POINT (-73.97214820000001 40.7584563)
612,Turtle Bay-East Midtown,600044,POINT (-73.97075150000001 40.7578658)
613,Midtown-Midtown South,600078,POINT (-73.97845140000003 40.7560367)
614,Central Harlem South,600094,POINT (-73.9493648 40.8099534)
615,Turtle Bay-East Midtown,600516,POINT (-73.9702265 40.7534933)
616,Turtle Bay-East Midtown,600530,POINT (-73.9700955 40.7559059)
617,Yorkville,602111,POINT (-73.94972129999999 40.7732263)
618,Lenox Hill-Roosevelt Island,602136,POINT (-73.95374559999998 40.7699535)
619,Midtown-Midtown South,603300,POINT (-73.98149649999998 40.7474929)
620,Gramercy,603336,POINT (-73.98182309999999 40.7412404)
621,Murray Hill-Kips Bay,603365,POINT (-73.976866 40.74809310000001)
622,Lincoln Square,603395,POINT (-73.9766865 40.776062)
623,Murray Hill-Kips Bay,603403,POINT (-73.9784803 40.7446158)
624,Lincoln Square,603414,POINT (-73.982788 40.7777978)
625,Midtown-Midtown South,603418,POINT (-73.9779355 40.766055)
626,Upper West Side,603438,POINT (-73.9677083 40.788359)
627,Upper West Side,603441,POINT (-73.97056640000002 40.792798)
628,Upper West Side,603451,POINT (-73.968816 40.79045900000001)
629,Upper West Side,603456,POINT (-73.97377879999998 40.7884621)
630,Upper West Side,603488,POINT (-73.969043 40.7914088)
631,Lenox Hill-Roosevelt Island,603505,POINT (-73.95525119999998 40.7697977)
632,Turtle Bay-East Midtown,603511,POINT (-73.96829990000001 40.7517581)
633,Lenox Hill-Roosevelt Island,603517,POINT (-73.9627675 40.7635973)
634,Lenox Hill-Roosevelt Island,603518,POINT (-73.9640811 40.7643387)
635,Lenox Hill-Roosevelt Island,603519,POINT (-73.9614199 40.7655977)
636,Lenox Hill-Roosevelt Island,603540,POINT (-73.9608131 40.7660669)
637,Lenox Hill-Roosevelt Island,603554,POINT (-73.95341120000001 40.7680129)
638,Yorkville,603561,POINT (-73.95568759999998 40.7759049)
639,Yorkville,603571,POINT (-73.94695250000002 40.7727914)
640,Yorkville,603578,POINT (-73.94670390000002 40.781182)
641,Yorkville,603584,POINT (-73.945572 40.7788484)
642,Lenox Hill-Roosevelt Island,603653,POINT (-73.9572117 40.7696063)
643,Yorkville,606262,POINT (-73.94939359999999 40.77218320000001)
644,Lincoln Square,606275,POINT (-73.98087640000001 40.77044160000001)
645,Turtle Bay-East Midtown,606500,POINT (-73.9724264 40.7577537)
646,Upper East Side-Carnegie Hill,606520,POINT (-73.96306120000001 40.7678407)
647,Upper East Side-Carnegie Hill,606530,POINT (-73.9612551 40.7695336)
648,Murray Hill-Kips Bay,606541,POINT (-73.98011159999999 40.7444762)
649,Lenox Hill-Roosevelt Island,606673,POINT (-73.95331440000002 40.7722727)
650,Washington Heights South,607908,POINT (-73.93556120000002 40.8479499)
651,Brooklyn Heights-Cobble Hill,614926,POINT (-73.9917999 40.6920033)
652,Clinton,615440,POINT (-73.98957540000001 40.7585964)
653,Clinton,616370,POINT (-73.98694329999999 40.76223020000001)
654,Midtown-Midtown South,618216,POINT (-73.9847139 40.7555629)
655,Battery Park City-Lower Manhattan,618772,POINT (-74.01022890000002 40.7063033)
656,Battery Park City-Lower Manhattan,618773,POINT (-74.0099187 40.7062073)
657,Clinton,618814,POINT (-73.9917902 40.7707695)
658,Gramercy,618975,POINT (-73.98526700000002 40.7353644)
659,Yorkville,619054,POINT (-73.9470431 40.77233579999999)
660,Murray Hill-Kips Bay,619764,POINT (-73.9773745 40.7491939)
661,Turtle Bay-East Midtown,619793,POINT (-73.96525890000002 40.7556438)
662,Murray Hill-Kips Bay,620493,POINT (-73.9779929 40.745409)
663,Yorkville,620551,POINT (-73.950164 40.7751643)
664,Yorkville,620585,POINT (-73.9462556 40.78178010000001)
665,Highbridge,621278,POINT (-73.9278532 40.8363709)
666,Murray Hill-Kips Bay,628806,POINT (-73.97997600000002 40.751198)
667,Lincoln Square,628862,POINT (-73.98010309999999 40.7727306)
668,Lincoln Square,628869,POINT (-73.98018259999998 40.7727635)
669,Lincoln Square,628875,POINT (-73.9803378 40.7728294)
670,Midtown-Midtown South,629232,POINT (-73.9812792 40.7629979)
671,Battery Park City-Lower Manhattan,630271,POINT (-74.01373050000002 40.7033469)
672,Battery Park City-Lower Manhattan,630290,POINT (-74.01105440000001 40.7039922)
673,Battery Park City-Lower Manhattan,630295,POINT (-74.0122987 40.70384110000001)
674,Battery Park City-Lower Manhattan,630311,POINT (-74.01104740000002 40.70527670000001)
675,Battery Park City-Lower Manhattan,630317,POINT (-74.01264509999999 40.7044998)
676,Battery Park City-Lower Manhattan,630322,POINT (-74.00771490000002 40.7064627)
677,Battery Park City-Lower Manhattan,630330,POINT (-74.00680240000001 40.7061471)
