nta,ADMINISTRATION OF GOVERNMENT,CORE INFRASTRUCTURE AND TRANSPORTATION,"EDUCATION, CHILD WELFARE, AND YOUTH",HEALTH AND HUMAN SERVICES,LIBRARIES AND CULTURAL PROGRAMS,"PARKS, GARDENS, AND HISTORICAL SITES","PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE"
MN11,8.0,13.0,111.0,110.0,24.0,27.0,1.0
MN12,2.0,51.0,145.0,46.0,71.0,45.0,5.0
MN13,15.0,97.0,133.0,140.0,120.0,60.0,8.0
MN14,2.0,48.0,75.0,35.0,52.0,46.0,1.0
MN15,13.0,71.0,67.0,52.0,72.0,21.0,5.0
MN17,15.0,103.0,187.0,98.0,175.0,156.0,5.0
MN19,16.0,102.0,57.0,28.0,27.0,93.0,3.0
MN20,11.0,76.0,63.0,51.0,23.0,57.0,3.0
MN21,5.0,30.0,55.0,37.0,16.0,21.0,0.0
MN22,5.0,11.0,48.0,32.0,70.0,40.0,3.0
MN23,6.0,57.0,87.0,52.0,90.0,68.0,5.0
MN24,90.0,50.0,103.0,71.0,100.0,70.0,9.0
MN25,68.0,81.0,105.0,89.0,55.0,112.0,4.0
MN27,63.0,25.0,114.0,56.0,36.0,42.0,14.0
MN28,13.0,10.0,156.0,96.0,39.0,56.0,5.0
MN31,23.0,114.0,62.0,63.0,16.0,63.0,1.0
MN32,6.0,80.0,61.0,12.0,9.0,43.0,0.0
MN33,9.0,27.0,165.0,91.0,23.0,24.0,3.0
MN34,26.0,20.0,157.0,135.0,15.0,43.0,6.0
MN35,2.0,23.0,87.0,32.0,24.0,15.0,2.0
MN36,7.0,16.0,97.0,86.0,21.0,27.0,5.0
MN40,3.0,76.0,87.0,17.0,33.0,63.0,3.0
MN50,0.0,6.0,3.0,0.0,0.0,1.0,0.0
MN99,5.0,8.0,5.0,10.0,5.0,29.0,2.0
QN01,27.0,10.0,65.0,24.0,2.0,11.0,1.0
QN02,5.0,2.0,58.0,9.0,2.0,3.0,1.0
QN03,29.0,24.0,20.0,2.0,0.0,4.0,1.0
QN05,23.0,8.0,17.0,3.0,1.0,6.0,3.0
QN06,5.0,10.0,38.0,16.0,2.0,4.0,0.0
QN07,1.0,3.0,34.0,12.0,1.0,4.0,1.0
QN08,33.0,8.0,74.0,18.0,13.0,8.0,1.0
QN10,33.0,9.0,35.0,15.0,3.0,13.0,1.0
QN12,18.0,11.0,65.0,24.0,2.0,18.0,5.0
QN15,26.0,4.0,100.0,57.0,4.0,20.0,2.0
QN17,18.0,24.0,92.0,54.0,9.0,14.0,2.0
QN18,6.0,4.0,32.0,11.0,2.0,7.0,0.0
QN19,8.0,1.0,36.0,6.0,1.0,9.0,1.0
QN20,12.0,15.0,62.0,13.0,5.0,25.0,3.0
QN21,16.0,2.0,29.0,3.0,3.0,6.0,1.0
QN22,12.0,30.0,115.0,34.0,16.0,22.0,3.0
QN23,85.0,19.0,12.0,13.0,2.0,11.0,1.0
QN25,13.0,4.0,45.0,4.0,1.0,9.0,1.0
QN26,3.0,1.0,46.0,20.0,3.0,12.0,2.0
QN27,8.0,7.0,27.0,7.0,4.0,7.0,1.0
QN28,17.0,11.0,72.0,39.0,7.0,16.0,3.0
QN29,20.0,5.0,61.0,36.0,6.0,22.0,4.0
QN30,22.0,7.0,26.0,2.0,3.0,17.0,2.0
QN31,66.0,78.0,111.0,47.0,25.0,29.0,7.0
QN33,2.0,3.0,28.0,5.0,1.0,3.0,0.0
QN34,20.0,17.0,48.0,16.0,1.0,8.0,2.0
QN35,5.0,5.0,52.0,39.0,3.0,5.0,1.0
QN37,3.0,2.0,70.0,11.0,5.0,8.0,0.0
QN38,3.0,3.0,39.0,21.0,4.0,5.0,4.0
QN41,1.0,0.0,17.0,2.0,2.0,6.0,1.0
QN42,1.0,0.0,31.0,4.0,3.0,9.0,1.0
QN43,3.0,0.0,34.0,30.0,3.0,6.0,0.0
QN44,2.0,1.0,20.0,13.0,1.0,4.0,1.0
QN45,16.0,2.0,28.0,12.0,3.0,20.0,1.0
QN46,10.0,3.0,59.0,10.0,3.0,12.0,2.0
QN47,6.0,3.0,13.0,2.0,5.0,9.0,1.0
QN48,2.0,3.0,22.0,10.0,3.0,0.0,1.0
QN49,17.0,5.0,30.0,1.0,2.0,7.0,1.0
